"seed","nind","size","seq","od","bias","maf","oaf","rho","ploidy","delta","pAB","pAb","paB","pab","updog_rho","polyrad_rho","uniform_rho","horse_rho"
116,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.881484022701184,0.872256372024306,0.571700046467343,0.472123849615075
107,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.866093871042911,0.862210274296769,0.710091861421673,0.642585470099494
186,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.900263618201353,0.899914783234055,0.888671509346975,0.886906367374781
120,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.690509258410305,0.57278714127777
131,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.961819345109319,0.956469837596275,0.793361948757357,0.7227834212737
128,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.901184723240767,0.900933898844488,0.888072314631228,0.886683634805487
161,10000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.916298316087778,0.911477934340421,0.754114180520204,0.67923203062729
70,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.680770167909889,0.585078860281637
70,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.917708288577387,0.908716615431699,0.603026255227058,0.483177250497177
184,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.73266348691948,0.534605163906162
115,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.925333201315774,0.92609005663336,0.900882758617787,0.900873943123217
182,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.819976257912185,0.708903042028573
62,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
119,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.521879305623206,0.515220145763324,0.353910761694073,0.318326054752559
8,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.995190451486413,0.984819654439085,0.656411086904223,0.538596010937642
20,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.828544108379396,0.823873649066631,0.679522242942101,0.613552866293344
162,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.968205500683251,0.96141827216319,0.799632966558109,0.761217911109949
135,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.892737213857975,0.89325435157324,0.86680671979362,0.866811630579249
137,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.674549238818781,0.541695442242289
158,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,0.916476151633618
58,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.160657661219767,0.165439776236323,0.098858875738034,0.0142886466209351
100,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.897070107168506,0.896662015546832,0.88491130156171,0.883253228172967
169,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.85721637639123,0.852955834453701,0.703792716240786,0.629288032045272
190,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.948573364178728,0.913630233274163
129,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.95762528784649,0.957328339983737,0.948512183634915,0.948556189989624
70,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.843366835161077,0.731304674155288
93,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.415310396040161,0.4100595700136,0.268484277564719,0.274267424012944
187,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.90539753604768,0.905531267902117,0.900104627464639,0.896605036759095
128,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.972385432727112,0.967000740138714,0.839392589136936,0.791447577603752
10,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.693571158225426,0.330532111277957
179,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.905025814263594,0.904487845914659,0.892520969068584,0.890483043485083
2,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.813168724960842,0.808739440287131,0.666107342310792,0.610059171813611
13,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.925093745726983,0.915767684708309,0.60655249937014,0.49326980771455
130,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.917781341812265,0.908609004573582,0.60310009503865,0.487829387088815
167,10000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.879127252253889,0.874500648878517,0.724042773069367,0.652009218558067
92,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.885761702961416,0.885534102523236,0.871962002367421,0.870550474993542
171,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.958043203718139,0.959698408935358,0.936089384419265,0.936020851374878
181,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.887479210323343,0.887344772458607,0.875195120163733,0.872702436148283
119,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.56115715772886,0.554718881721136,0.363687273657418,0.274583593000399
147,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.901683477721528,0.901261167427026,0.889129431968983,0.886960696666881
179,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.984273210308691,0.984274149452496
164,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.872744623197264,0.874878551351663,0.852927331919534,0.85484739941748
172,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.962518913257066,0.866526338076172
62,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.659941019119168,0.532142854152795
92,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.88481946332523,0.818984183553219
97,10000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.915878980591564,0.911124371294518,0.753164604433502,0.678666453599747
146,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.896548446626132,0.89617320635074,0.883178399741633,0.881003839958384
29,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.784903542216056,0.781067700927336,0.645496609928105,0.605967659691876
184,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,0.806388223051333,0.792083291620463
